WELL_ID,DATE,OIL_BARRELS,GAS_CUBIC_FEET,WATER_BARRELS
TX-001,2023-07-01,540,14881,200
TX-002,2023-07-01,358,14369,247
TX-003,2023-07-01,452,14266,237
TX-004,2023-07-01,323,11169,155
TX-005,2023-07-01,376,15102,263
TX-001,2023-07-02,525,11152,311
TX-002,2023-07-02,549,12509,269
TX-003,2023-07-02,454,11965,176
TX-004,2023-07-02,320,13174,246
TX-005,2023-07-02,296,15191,132
TX-001,2023-07-03,690,9898,159
TX-002,2023-07-03,571,10310,294
TX-003,2023-07-03,466,13885,136
TX-004,2023-07-03,447,12126,272
TX-005,2023-07-03,489,13334,184
TX-001,2023-07-04,533,9094,294
TX-002,2023-07-04,619,9938,294
TX-003,2023-07-04,524,15151,188
TX-004,2023-07-04,643,14250,207
TX-005,2023-07-04,307,11404,231
TX-001,2023-07-05,330,12716,120
TX-002,2023-07-05,619,14895,187
TX-003,2023-07-05,506,15241,165
TX-004,2023-07-05,509,9871,280
TX-005,2023-07-05,402,15894,283
